SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,LACKS_PLUS_MINUS
KNES:D22AX:51Z,HATHA YOGA,Christian May,,5,9,2,2,3,0,0,1,0,0,0,0,2,1,Summer,2021,0
KNES:D22BX:50Z,YOGA FOR RELAXATION,Christian May,,6,9,4,0,3,0,0,0,0,0,0,0,0,1,Summer,2021,0
KNES:D22DX:50Z,FLOW YOGA,Mark Johnson,,0,14,0,1,1,0,0,0,0,0,0,0,1,1,Summer,2021,0
KNES:D22DX:51Z,FLOW YOGA,Christian May,,5,9,2,1,1,0,1,1,0,0,0,0,1,1,Summer,2021,0
KNES:D22EX:50Z,YOGA/PILATES COMBO,Christian May,,4,5,0,1,1,0,0,2,0,1,0,0,4,2,Summer,2021,0
KNES:D25AX:50Z,STRETCHING,Jason Damjanovic,,0,26,0,0,0,1,0,0,0,0,0,0,0,0,Summer,2021,0
KNES:D25BX:50Z,ACTIVE ISOLATED STRETCHING,Jason Damjanovic,,0,15,1,0,1,3,0,0,0,0,0,0,2,0,Summer,2021,0
KNES:D26AX:50Z,BASIC PILATES MAT EXERCISE,Danielle Altman,,4,6,1,1,1,1,1,1,0,0,0,0,1,2,Summer,2021,0
KNES:D26BX:50Z,INTEGRATED PILATES MAT EXERCIS,Danielle Altman,,1,1,0,1,0,1,1,1,0,0,0,0,2,0,Summer,2021,0
KNES:D31AX:50Z,BEGINNING BADMINTON,Mark Landefeld,,0,12,0,0,3,0,0,0,0,0,0,0,0,0,Summer,2021,0
KNES:D31BX:50Z,INTERMEDIATE BADMINTON,Mark Landefeld,,0,3,0,0,0,0,0,0,0,0,0,0,2,0,Summer,2021,0
